timestamp,fleet_avg,fleet_p95,sample_count
2026-01-09T10:04:00.000Z,0.1133,0.1133,1
2026-01-09T10:09:00.000Z,0.1333,0.1333,1
2026-01-09T10:14:00.000Z,0.2167,0.2167,1
2026-01-09T10:19:00.000Z,0.1966,0.1966,1
2026-01-09T10:24:00.000Z,0.1217,0.1217,1
2026-01-09T10:29:00.000Z,0.1450,0.1450,1
2026-01-09T10:34:00.000Z,0.1433,0.1433,1
2026-01-09T10:39:00.000Z,0.1451,0.1451,1
2026-01-09T10:44:00.000Z,0.1200,0.1200,1
2026-01-09T10:49:00.000Z,0.1450,0.1450,1
2026-01-09T10:54:00.000Z,0.1233,0.1233,1
2026-01-09T10:59:00.000Z,0.1433,0.1433,1
2026-01-09T11:04:00.000Z,0.1200,0.1200,1
2026-01-09T11:09:00.000Z,0.1434,0.1434,1
2026-01-09T11:14:00.000Z,0.1217,0.1217,1
2026-01-09T11:19:00.000Z,0.1450,0.1450,1
2026-01-09T11:24:00.000Z,0.1217,0.1217,1
2026-01-09T11:29:00.000Z,0.1450,0.1450,1
2026-01-09T11:34:00.000Z,0.1200,0.1200,1
2026-01-09T11:39:00.000Z,0.1450,0.1450,1
2026-01-09T11:44:00.000Z,0.1233,0.1233,1
2026-01-09T11:49:00.000Z,0.1417,0.1417,1
2026-01-09T11:54:00.000Z,0.1250,0.1250,1
2026-01-09T11:59:00.000Z,0.1433,0.1433,1
2026-01-09T12:04:00.000Z,0.1200,0.1200,1
2026-01-09T12:09:00.000Z,0.1483,0.1483,1
2026-01-09T12:14:00.000Z,0.1234,0.1234,1
2026-01-09T12:19:00.000Z,0.1433,0.1433,1
2026-01-09T12:24:00.000Z,0.1217,0.1217,1
2026-01-09T12:29:00.000Z,0.1417,0.1417,1
2026-01-09T12:34:00.000Z,0.1667,0.1667,1
2026-01-09T12:39:00.000Z,0.1550,0.1550,1
2026-01-09T12:44:00.000Z,0.1250,0.1250,1
2026-01-09T12:49:00.000Z,0.1450,0.1450,1
2026-01-09T12:54:00.000Z,0.1217,0.1217,1
2026-01-09T12:59:00.000Z,0.1334,0.1334,1
2026-01-09T13:04:00.000Z,0.1116,0.1116,1
2026-01-09T13:09:00.000Z,0.1350,0.1350,1
2026-01-09T13:14:00.000Z,0.1467,0.1467,1
2026-01-09T13:19:00.000Z,0.1450,0.1450,1
2026-01-09T13:24:00.000Z,0.1166,0.1166,1
2026-01-09T13:29:00.000Z,0.1384,0.1384,1
2026-01-09T13:34:00.000Z,0.1217,0.1217,1
2026-01-09T13:39:00.000Z,0.1467,0.1467,1
2026-01-09T13:44:00.000Z,0.1217,0.1217,1
2026-01-09T13:49:00.000Z,0.6565,0.6565,1
2026-01-09T13:54:00.000Z,0.1383,0.1383,1
2026-01-09T13:59:00.000Z,0.1451,0.1451,1
2026-01-09T14:04:00.000Z,0.1216,0.1216,1
2026-01-09T14:09:00.000Z,0.1450,0.1450,1
2026-01-09T14:14:00.000Z,0.1200,0.1200,1
2026-01-09T14:19:00.000Z,0.1483,0.1483,1
2026-01-09T14:24:00.000Z,0.1217,0.1217,1
2026-01-09T14:29:00.000Z,0.1433,0.1433,1
2026-01-09T14:34:00.000Z,0.1216,0.1216,1
2026-01-09T14:39:00.000Z,0.1450,0.1450,1
2026-01-09T14:44:00.000Z,0.1217,0.1217,1
2026-01-09T14:49:00.000Z,0.1434,0.1434,1
2026-01-09T14:54:00.000Z,1.4116,1.4116,1
2026-01-09T14:59:00.000Z,0.1417,0.1417,1
2026-01-09T15:04:00.000Z,0.1250,0.1250,1
2026-01-09T15:09:00.000Z,0.1450,0.1450,1
2026-01-09T15:14:00.000Z,0.1200,0.1200,1
2026-01-09T15:19:00.000Z,0.1450,0.1450,1
2026-01-09T15:24:00.000Z,0.1283,0.1283,1
2026-01-09T15:29:00.000Z,0.1533,0.1533,1
2026-01-09T15:34:00.000Z,0.1333,0.1333,1
2026-01-09T15:39:00.000Z,0.1833,0.1833,1
2026-01-09T15:44:00.000Z,0.1334,0.1334,1
2026-01-09T15:49:00.000Z,0.1450,0.1450,1
2026-01-09T15:54:00.000Z,0.1217,0.1217,1
2026-01-09T15:59:00.000Z,0.1433,0.1433,1
2026-01-09T16:04:00.000Z,0.1233,0.1233,1
2026-01-09T16:09:00.000Z,0.1333,0.1333,1
2026-01-09T16:14:00.000Z,0.1133,0.1133,1
2026-01-09T16:19:00.000Z,0.1483,0.1483,1
2026-01-09T16:24:00.000Z,0.1150,0.1150,1
2026-01-09T16:29:00.000Z,0.1433,0.1433,1
2026-01-09T16:34:00.000Z,0.1117,0.1117,1
2026-01-09T16:39:00.000Z,0.1433,0.1433,1
2026-01-09T16:44:00.000Z,0.1217,0.1217,1
2026-01-09T16:49:00.000Z,0.1433,0.1433,1
2026-01-09T16:54:00.000Z,0.1217,0.1217,1
2026-01-09T16:59:00.000Z,0.1483,0.1483,1
2026-01-09T17:04:00.000Z,0.1217,0.1217,1
2026-01-09T17:09:00.000Z,0.1433,0.1433,1
2026-01-09T17:14:00.000Z,0.1217,0.1217,1
2026-01-09T17:19:00.000Z,0.1416,0.1416,1
2026-01-09T17:24:00.000Z,0.1250,0.1250,1
2026-01-09T17:29:00.000Z,0.1433,0.1433,1
2026-01-09T17:34:00.000Z,0.1217,0.1217,1
2026-01-09T17:39:00.000Z,0.1451,0.1451,1
2026-01-09T17:44:00.000Z,0.1233,0.1233,1
2026-01-09T17:49:00.000Z,0.1434,0.1434,1
2026-01-09T17:54:00.000Z,0.1233,0.1233,1
2026-01-09T17:59:00.000Z,0.1433,0.1433,1
2026-01-09T18:04:00.000Z,0.1233,0.1233,1
2026-01-09T18:09:00.000Z,0.1750,0.1750,1
2026-01-09T18:14:00.000Z,0.1217,0.1217,1
2026-01-09T18:19:00.000Z,0.1466,0.1466,1
2026-01-09T18:24:00.000Z,0.1266,0.1266,1
2026-01-09T18:29:00.000Z,0.1583,0.1583,1
2026-01-09T18:34:00.000Z,0.1217,0.1217,1
2026-01-09T18:39:00.000Z,0.1467,0.1467,1
2026-01-09T18:44:00.000Z,0.1233,0.1233,1
2026-01-09T18:49:00.000Z,0.1467,0.1467,1
2026-01-09T18:54:00.000Z,0.1233,0.1233,1
2026-01-09T18:59:00.000Z,0.1433,0.1433,1
2026-01-09T19:04:00.000Z,0.1216,0.1216,1
2026-01-09T19:09:00.000Z,0.1433,0.1433,1
2026-01-09T19:14:00.000Z,0.1134,0.1134,1
2026-01-09T19:19:00.000Z,0.1367,0.1367,1
2026-01-09T19:24:00.000Z,0.2249,0.2249,1
2026-01-09T19:29:00.000Z,1.1303,1.1303,1
2026-01-09T19:34:00.000Z,1.0881,1.0881,1
2026-01-09T19:39:00.000Z,0.1400,0.1400,1
2026-01-09T19:44:00.000Z,0.1233,0.1233,1
2026-01-09T19:49:00.000Z,0.1416,0.1416,1
2026-01-09T19:54:00.000Z,0.1200,0.1200,1
2026-01-09T19:59:00.000Z,0.1433,0.1433,1
2026-01-09T20:04:00.000Z,0.1217,0.1217,1
2026-01-09T20:09:00.000Z,0.1400,0.1400,1
2026-01-09T20:14:00.000Z,0.1217,0.1217,1
2026-01-09T20:19:00.000Z,0.1450,0.1450,1
2026-01-09T20:24:00.000Z,0.1200,0.1200,1
2026-01-09T20:29:00.000Z,0.1450,0.1450,1
2026-01-09T20:34:00.000Z,0.1200,0.1200,1
2026-01-09T20:39:00.000Z,0.1434,0.1434,1
2026-01-09T20:44:00.000Z,0.1233,0.1233,1
2026-01-09T20:49:00.000Z,0.1400,0.1400,1
2026-01-09T20:54:00.000Z,0.1200,0.1200,1
2026-01-09T20:59:00.000Z,0.1417,0.1417,1
2026-01-09T21:04:00.000Z,0.1217,0.1217,1
2026-01-09T21:09:00.000Z,0.1417,0.1417,1
2026-01-09T21:14:00.000Z,0.1233,0.1233,1
2026-01-09T21:19:00.000Z,0.1417,0.1417,1
2026-01-09T21:24:00.000Z,0.1200,0.1200,1
2026-01-09T21:29:00.000Z,0.1434,0.1434,1
2026-01-09T21:34:00.000Z,0.1234,0.1234,1
2026-01-09T21:39:00.000Z,0.1416,0.1416,1
2026-01-09T21:44:00.000Z,0.1200,0.1200,1
2026-01-09T21:49:00.000Z,0.1467,0.1467,1
2026-01-09T21:54:00.000Z,0.1200,0.1200,1
2026-01-09T21:59:00.000Z,0.1467,0.1467,1
2026-01-09T22:04:00.000Z,0.1217,0.1217,1
2026-01-09T22:09:00.000Z,0.1433,0.1433,1
2026-01-09T22:14:00.000Z,0.1217,0.1217,1
2026-01-09T22:19:00.000Z,0.1433,0.1433,1
2026-01-09T22:24:00.000Z,0.1133,0.1133,1
2026-01-09T22:29:00.000Z,0.1317,0.1317,1
2026-01-09T22:34:00.000Z,0.1150,0.1150,1
2026-01-09T22:39:00.000Z,0.1383,0.1383,1
2026-01-09T22:44:00.000Z,0.1216,0.1216,1
2026-01-09T22:49:00.000Z,0.1417,0.1417,1
2026-01-09T22:54:00.000Z,0.1150,0.1150,1
2026-01-09T22:59:00.000Z,0.1417,0.1417,1
2026-01-09T23:04:00.000Z,0.1200,0.1200,1
2026-01-09T23:09:00.000Z,0.1399,0.1399,1
2026-01-09T23:14:00.000Z,0.1200,0.1200,1
2026-01-09T23:19:00.000Z,0.1416,0.1416,1
2026-01-09T23:24:00.000Z,0.1200,0.1200,1
2026-01-09T23:29:00.000Z,0.1333,0.1333,1
2026-01-09T23:34:00.000Z,0.1183,0.1183,1
2026-01-09T23:39:00.000Z,0.1417,0.1417,1
2026-01-09T23:44:00.000Z,0.1217,0.1217,1
2026-01-09T23:49:00.000Z,0.1416,0.1416,1
2026-01-09T23:54:00.000Z,0.1200,0.1200,1
2026-01-09T23:59:00.000Z,0.1634,0.1634,1
2026-01-10T00:04:00.000Z,0.1633,0.1633,1
2026-01-10T00:09:00.000Z,0.1400,0.1400,1
2026-01-10T00:14:00.000Z,0.1183,0.1183,1
2026-01-10T00:19:00.000Z,0.1450,0.1450,1
2026-01-10T00:24:00.000Z,0.1250,0.1250,1
2026-01-10T00:29:00.000Z,0.1433,0.1433,1
2026-01-10T00:34:00.000Z,0.1200,0.1200,1
2026-01-10T00:39:00.000Z,0.1433,0.1433,1
2026-01-10T00:44:00.000Z,0.1300,0.1300,1
2026-01-10T00:49:00.000Z,0.1533,0.1533,1
2026-01-10T00:54:00.000Z,0.1450,0.1450,1
2026-01-10T00:59:00.000Z,0.1566,0.1566,1
2026-01-10T01:04:00.000Z,0.1200,0.1200,1
2026-01-10T01:09:00.000Z,0.1483,0.1483,1
2026-01-10T01:14:00.000Z,0.1500,0.1500,1
2026-01-10T01:19:00.000Z,0.1483,0.1483,1
2026-01-10T01:24:00.000Z,0.1567,0.1567,1
2026-01-10T01:29:00.000Z,0.1400,0.1400,1
2026-01-10T01:34:00.000Z,0.1216,0.1216,1
2026-01-10T01:39:00.000Z,0.1450,0.1450,1
2026-01-10T01:44:00.000Z,0.1467,0.1467,1
2026-01-10T01:49:00.000Z,0.1500,0.1500,1
2026-01-10T01:54:00.000Z,0.1449,0.1449,1
2026-01-10T01:59:00.000Z,0.1484,0.1484,1
2026-01-10T02:04:00.000Z,0.1450,0.1450,1
2026-01-10T02:09:00.000Z,0.1517,0.1517,1
2026-01-10T02:14:00.000Z,0.1500,0.1500,1
2026-01-10T02:19:00.000Z,0.1550,0.1550,1
2026-01-10T02:24:00.000Z,0.1317,0.1317,1
2026-01-10T02:29:00.000Z,0.1416,0.1416,1
2026-01-10T02:34:00.000Z,0.1500,0.1500,1
2026-01-10T02:39:00.000Z,0.1566,0.1566,1
2026-01-10T02:44:00.000Z,0.1417,0.1417,1
2026-01-10T02:49:00.000Z,0.1517,0.1517,1
2026-01-10T02:54:00.000Z,0.1317,0.1317,1
2026-01-10T02:59:00.000Z,0.1517,0.1517,1
2026-01-10T03:04:00.000Z,0.1350,0.1350,1
2026-01-10T03:09:00.000Z,0.1550,0.1550,1
2026-01-10T03:14:00.000Z,0.1516,0.1516,1
2026-01-10T03:19:00.000Z,0.1484,0.1484,1
2026-01-10T03:24:00.000Z,0.1483,0.1483,1
2026-01-10T03:29:00.000Z,0.1516,0.1516,1
2026-01-10T03:34:00.000Z,0.1518,0.1518,1
2026-01-10T03:39:00.000Z,0.1566,0.1566,1
2026-01-10T03:44:00.000Z,0.1250,0.1250,1
2026-01-10T03:49:00.000Z,0.1534,0.1534,1
2026-01-10T03:54:00.000Z,0.1516,0.1516,1
2026-01-10T03:59:00.000Z,0.1550,0.1550,1
2026-01-10T04:04:00.000Z,0.1550,0.1550,1
2026-01-10T04:09:00.000Z,0.1517,0.1517,1
2026-01-10T04:14:00.000Z,0.1500,0.1500,1
2026-01-10T04:19:00.000Z,0.1517,0.1517,1
2026-01-10T04:24:00.000Z,0.1467,0.1467,1
2026-01-10T04:29:00.000Z,0.1583,0.1583,1
2026-01-10T04:34:00.000Z,0.1283,0.1283,1
2026-01-10T04:39:00.000Z,0.1434,0.1434,1
2026-01-10T04:44:00.000Z,0.1517,0.1517,1
2026-01-10T04:49:00.000Z,0.1483,0.1483,1
2026-01-10T04:54:00.000Z,0.1500,0.1500,1
2026-01-10T04:59:00.000Z,0.1517,0.1517,1
2026-01-10T05:04:00.000Z,0.1233,0.1233,1
2026-01-10T05:09:00.000Z,0.1483,0.1483,1
2026-01-10T05:14:00.000Z,0.1450,0.1450,1
2026-01-10T05:19:00.000Z,0.1467,0.1467,1
2026-01-10T05:24:00.000Z,0.1250,0.1250,1
2026-01-10T05:29:00.000Z,0.1750,0.1750,1
2026-01-10T05:34:00.000Z,0.1316,0.1316,1
2026-01-10T05:39:00.000Z,0.1533,0.1533,1
2026-01-10T05:44:00.000Z,0.1467,0.1467,1
2026-01-10T05:49:00.000Z,0.1501,0.1501,1
2026-01-10T05:54:00.000Z,0.1466,0.1466,1
2026-01-10T05:59:00.000Z,0.1500,0.1500,1
